Season,Time,VTeam,Hteam,VScore,Hscore,Mar.,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,OPFGM,OPFGA,OPFG%,OP3FGM,OP3FGA,OP3FG%,OPFTM,OPFTA,OPFT%,OPOFF,OPDEF,OPREB,OPAST,OPSTL,OPBLK,OPTO,OPPF,OPPTS,H Betting Line
(2019-20),9/6/2020 0:00,HOU,LAL,109,117,-8,40.8,90.4,0.45,15.6,45.3,0.35,20.6,26.1,0.79,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8,39.06,87.14,0.45,11.65,33.42,0.35,17.89,22.9,0.78,9.41,32.86,42.27,23.41,8.24,3.7,15.92,21.75,107.65,210
(2019-20),9/7/2020 0:00,BOS,TOR,111,89,22,41.3,89.6,0.46,12.6,34.5,0.36,18.6,23.2,0.80,10.7,35.4,46.1,23,8.3,5.6,13.8,21.6,113.7,37.79,88.32,0.43,13.1,38.86,0.34,17.83,23.19,0.77,10.92,35.14,46.06,25.57,7.22,5.49,16.83,20.36,106.51,-130
(2019-20),9/7/2020 0:00,LAC,DEN,113,107,6,41.6,89.2,0.47,12.4,33.5,0.37,20.8,26.3,0.79,10.7,37,47.7,23.7,7.1,4.7,14.6,22.1,116.3,39.99,86.45,0.46,12.12,33.88,0.36,17.08,22.51,0.76,10.08,32.56,42.64,25.37,7.19,4.44,14.26,20.47,109.18,-420
(2019-20),9/8/2020 0:00,MIA,MIL,103,94,9,39.5,84.4,0.47,13.4,35.4,0.38,19.7,25.2,0.78,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112,38.95,94,0.41,13.97,39.33,0.36,16.73,21.25,0.79,9.49,36.32,45.81,24.16,7.37,4.47,14.11,21.73,108.59,-230
(2019-20),9/8/2020 0:00,LAL,HOU,112,102,10,42.3,88.3,0.48,11,31.6,0.35,17.7,24.3,0.73,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4,42.29,91.51,0.46,12.22,35.03,0.35,18.04,23.69,0.76,11.15,36.74,47.89,25.26,8.03,4.92,16.15,21.04,114.85,-175
(2019-20),9/9/2020 0:00,TOR,BOS,125,122,3,40.2,87.9,0.46,13.8,37,0.37,18.5,23.2,0.80,9.5,35.9,45.4,25.2,8.8,5,14.8,21.7,112.8,38.39,87.06,0.44,11.82,34.78,0.34,18.75,24.46,0.77,10.32,34.01,44.33,22.4,7.14,5.5,15.24,20.65,107.35,130
(2019-20),9/9/2020 0:00,LAC,DEN,96,85,11,41.6,89.2,0.47,12.4,33.5,0.37,20.8,26.3,0.79,10.7,37,47.7,23.7,7.1,4.7,14.6,22.1,116.3,39.99,86.45,0.46,12.12,33.88,0.36,17.08,22.51,0.76,10.08,32.56,42.64,25.37,7.19,4.44,14.26,20.47,109.18,-340
(2019-20),9/10/2020 0:00,LAL,HOU,110,100,10,42.3,88.3,0.48,11,31.6,0.35,17.7,24.3,0.73,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4,42.29,91.51,0.46,12.22,35.03,0.35,18.04,23.69,0.76,11.15,36.74,47.89,25.26,8.03,4.92,16.15,21.04,114.85,-175
(2019-20),9/11/2020 0:00,BOS,TOR,92,87,5,41.3,89.6,0.46,12.6,34.5,0.36,18.6,23.2,0.80,10.7,35.4,46.1,23,8.3,5.6,13.8,21.6,113.7,37.79,88.32,0.43,13.1,38.86,0.34,17.83,23.19,0.77,10.92,35.14,46.06,25.57,7.22,5.49,16.83,20.36,106.51,-155
(2019-20),9/11/2020 0:00,DEN,LAC,111,105,6,42,88.9,0.47,11,30.6,0.36,16.2,20.9,0.78,10.8,33.4,44.1,26.7,8,4.6,13.8,20.3,111.3,39.53,90.19,0.44,12.31,35.64,0.35,18.54,24.53,0.76,10.71,34.6,45.31,23.74,7.5,4.69,14.07,22.88,109.9,330
